[Sat Dec 19 09:42:33 2015] [error] [client 125.71.229.18] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 09:42:38 2015] [error] [client 125.71.229.18] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 09:42:47 2015] [error] [client 125.71.229.18] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 09:42:51 2015] [error] [client 125.71.229.18] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 09:42:54 2015] [error] [client 125.71.229.18] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 09:42:56 2015] [error] [client 125.71.229.18] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 09:42:57 2015] [error] [client 125.71.229.18] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 09:42:59 2015] [error] [client 125.71.229.18] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 09:43:01 2015] [error] [client 125.71.229.18] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 09:43:02 2015] [error] [client 125.71.229.18] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 09:43:06 2015] [error] [client 125.71.229.18] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 09:43:10 2015] [error] [client 125.71.229.18] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 09:43:13 2015] [error] [client 125.71.229.18] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 09:49:29 2015] [error] [client 125.71.229.18] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 09:49:39 2015] [error] [client 125.71.229.18] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
